Date,Area,value
2019-02-01,中正區,638259.942359875
2019-02-01,大同區,544009.004068486
2019-02-01,萬華區,489447.301875712
2019-02-01,文山區,442911.652528224
2019-02-01,南港區,518543.478146984
2019-02-01,內湖區,510413.40511268
2019-02-01,士林區,504325.838087303
2019-02-01,北投區,444285.172079113
2019-03-01,松山區,668133.229102411
2019-03-01,信義區,609236.295108013
2019-03-01,大安區,713803.324334221
2019-03-01,中山區,620521.746457724
2019-03-01,中正區,635637.729067588
2019-03-01,大同區,553421.902488558
2019-03-01,萬華區,475436.609204137
2019-03-01,文山區,446181.953996611
2019-03-01,南港區,539500.525905514
2019-03-01,內湖區,513527.763568423
2019-03-01,士林區,518247.830107088
2019-03-01,北投區,463225.025226066
2019-04-01,松山區,670680.980373388
2019-04-01,信義區,620979.863930094
2019-04-01,大安區,713754.633742789
2019-04-01,中山區,618705.047419929
2019-04-01,中正區,677404.835562173
2019-04-01,大同區,544681.943592729
2019-04-01,萬華區,475545.13765309
2019-04-01,文山區,456781.825786785
2019-04-01,南港區,510781.22293157
2019-04-01,內湖區,517887.929774877
2019-04-01,士林區,510792.598588486
2019-04-01,北投區,458038.68242307
2019-05-01,松山區,657197.051320603
2019-05-01,信義區,614964.375146866
2019-05-01,大安區,719454.534107022
2019-05-01,中山區,634833.077173773
2019-05-01,中正區,678173.687415838
2019-05-01,大同區,538916.481904954
2019-05-01,萬華區,485635.32897665
2019-05-01,文山區,454555.329288333
2019-05-01,南港區,544311.320014201
2019-05-01,內湖區,506226.8361823
2019-05-01,士林區,531737.197289969
2019-05-01,北投區,467738.203646362
2019-06-01,松山區,652609.871052755
2019-06-01,信義區,625387.943593642
2019-06-01,大安區,722691.452678219
2019-06-01,中山區,610380.99087911
2019-06-01,中正區,654501.031546974
2019-06-01,大同區,564717.21508463
2019-06-01,萬華區,472403.326899273
2019-06-01,文山區,457979.220160108
2019-06-01,南港區,519587.294850516
2019-06-01,內湖區,505061.43970977
2019-06-01,士林區,498242.991087657
2019-06-01,北投區,456999.513985114
2019-07-01,松山區,652906.351302192
2019-07-01,信義區,628855.397917471
2019-07-01,大安區,718893.234358484
2019-07-01,中山區,625885.474910378
2019-07-01,中正區,666878.600352482
2019-07-01,大同區,572384.207166755
2019-07-01,萬華區,490559.957619397
2019-07-01,文山區,434812.860440339
2019-07-01,南港區,511913.208857511
2019-07-01,內湖區,512095.062357282
2019-07-01,士林區,516656.914942748
2019-07-01,北投區,463928.181832764
2019-08-01,松山區,647387.83981103
2019-08-01,信義區,630085.900436584
2019-08-01,大安區,710293.490321863
2019-08-01,中山區,621595.601192228
2019-08-01,中正區,674454.506052668
2019-08-01,大同區,572360.882076683
2019-08-01,萬華區,472856.646331231
2019-08-01,文山區,448258.164557585
2019-08-01,南港區,514619.324629497
2019-08-01,內湖區,504685.084597173
2019-08-01,士林區,493603.828278128
2019-08-01,北投區,474166.938373435
2019-09-01,松山區,665946.591470367
2019-09-01,信義區,621571.540766693
2019-09-01,大安區,719545.217644512
2019-09-01,中山區,624625.93167512
2019-09-01,中正區,707579.385652029
2019-09-01,大同區,554822.561788369
2019-09-01,萬華區,476075.458560965
2019-09-01,文山區,455400.11559327
2019-09-01,南港區,528637.362925779
2019-09-01,內湖區,499018.709776174
2019-09-01,士林區,510576.050851402
2019-09-01,北投區,461607.731406405
2019-10-01,松山區,648151.985434544
2019-10-01,信義區,603799.336094055
2019-10-01,大安區,720518.564256714
2019-10-01,中山區,600942.633745437
2019-10-01,中正區,708237.197487691
2019-10-01,大同區,552055.617217929
